Date,Open,High,Low,Close
07/04/97 00:00:00,1.1168,1.1192,1.1119,1.1155
07/07/97 00:00:00,1.1139,1.1224,1.1132,1.1158
07/08/97 00:00:00,1.116,1.1168,1.1101,1.1107
07/09/97 00:00:00,1.1108,1.1125,1.1079,1.1113
07/10/97 00:00:00,1.1113,1.1199,1.107,1.1168
07/11/97 00:00:00,1.117,1.1174,1.1004,1.1006
07/14/97 00:00:00,1.0974,1.1011,1.0871,1.0885
07/15/97 00:00:00,1.0889,1.0966,1.0843,1.0915
07/16/97 00:00:00,1.0923,1.0956,1.0864,1.0923
07/17/97 00:00:00,1.0917,1.0946,1.0854,1.0907
07/18/97 00:00:00,1.0916,1.0955,1.0867,1.092
07/21/97 00:00:00,1.0915,1.0947,1.0876,1.0891
07/22/97 00:00:00,1.0887,1.0893,1.0721,1.0726
07/23/97 00:00:00,1.0728,1.0759,1.0674,1.0714
07/24/97 00:00:00,1.0714,1.073,1.0629,1.0662
07/25/97 00:00:00,1.0665,1.0682,1.0628,1.0639
07/28/97 00:00:00,1.0647,1.0652,1.0577,1.0609
07/29/97 00:00:00,1.0607,1.0703,1.0607,1.065
07/30/97 00:00:00,1.0651,1.0673,1.0599,1.0649
07/31/97 00:00:00,1.0651,1.0692,1.0611,1.064
08/01/97 00:00:00,1.0641,1.0641,1.0476,1.0503
08/04/97 00:00:00,1.0507,1.0507,1.0441,1.0481
08/05/97 00:00:00,1.0478,1.0525,1.0385,1.0403
08/06/97 00:00:00,1.0407,1.0437,1.0344,1.0396
08/07/97 00:00:00,1.0396,1.0478,1.0355,1.0468
08/08/97 00:00:00,1.0468,1.0634,1.0424,1.0601
08/11/97 00:00:00,1.0596,1.0619,1.0488,1.0493
08/12/97 00:00:00,1.0492,1.0542,1.0457,1.0494
08/13/97 00:00:00,1.0497,1.0695,1.0479,1.0662
08/14/97 00:00:00,1.0664,1.0685,1.0588,1.0632
08/15/97 00:00:00,1.0633,1.077,1.0592,1.0742
08/18/97 00:00:00,1.0755,1.0834,1.0661,1.0661
08/19/97 00:00:00,1.0662,1.068,1.0608,1.0629
08/20/97 00:00:00,1.0626,1.0628,1.0525,1.0539
08/21/97 00:00:00,1.0537,1.0657,1.0519,1.0657
08/22/97 00:00:00,1.065,1.0825,1.0641,1.0752
08/25/97 00:00:00,1.0746,1.078,1.0712,1.0752
08/26/97 00:00:00,1.0752,1.0914,1.0715,1.088
08/27/97 00:00:00,1.0883,1.0902,1.0785,1.084
08/28/97 00:00:00,1.0831,1.0946,1.0748,1.0897
08/29/97 00:00:00,1.09,1.0928,1.0781,1.0813
09/01/97 00:00:00,1.0804,1.0836,1.0764,1.0783
09/02/97 00:00:00,1.0785,1.0794,1.0658,1.066
09/03/97 00:00:00,1.0664,1.0785,1.0632,1.0752
09/04/97 00:00:00,1.0756,1.0805,1.0709,1.0775
09/05/97 00:00:00,1.0771,1.0897,1.0746,1.0855
09/08/97 00:00:00,1.0849,1.0894,1.0798,1.0823
09/09/97 00:00:00,1.0824,1.0847,1.0767,1.0782
09/10/97 00:00:00,1.0782,1.0903,1.0762,1.0878
09/11/97 00:00:00,1.0876,1.1001,1.0867,1.0983
09/12/97 00:00:00,1.0986,1.1057,1.0931,1.1044
09/15/97 00:00:00,1.1025,1.1139,1.0986,1.1111
09/16/97 00:00:00,1.1113,1.1113,1.1015,1.1054
09/17/97 00:00:00,1.1055,1.1075,1.1021,1.1036
09/18/97 00:00:00,1.1041,1.1101,1.0966,1.0994
09/19/97 00:00:00,1.0993,1.1059,1.0969,1.1019
09/22/97 00:00:00,1.1013,1.1039,1.0885,1.0918
09/23/97 00:00:00,1.0923,1.0954,1.0859,1.0903
09/24/97 00:00:00,1.0905,1.1052,1.0893,1.1029
09/25/97 00:00:00,1.1036,1.112,1.1003,1.1115
09/26/97 00:00:00,1.1119,1.1197,1.1079,1.1123
09/29/97 00:00:00,1.1117,1.1165,1.1087,1.1103
09/30/97 00:00:00,1.1103,1.1122,1.1034,1.1118
10/01/97 00:00:00,1.1113,1.1141,1.101,1.1023
10/02/97 00:00:00,1.1024,1.1075,1.0995,1.1034
10/03/97 00:00:00,1.1034,1.1141,1.0993,1.1139
10/06/97 00:00:00,1.1138,1.1162,1.1082,1.1125
10/07/97 00:00:00,1.1124,1.1213,1.1115,1.1128
10/08/97 00:00:00,1.1132,1.1197,1.1097,1.1186
10/09/97 00:00:00,1.1186,1.1283,1.1151,1.1218
10/10/97 00:00:00,1.122,1.1253,1.1149,1.1177
10/13/97 00:00:00,1.1187,1.1187,1.112,1.1174
10/14/97 00:00:00,1.1172,1.12,1.113,1.1166
10/15/97 00:00:00,1.1166,1.1204,1.1142,1.1193
10/16/97 00:00:00,1.1196,1.1224,1.1181,1.1201
10/17/97 00:00:00,1.12,1.1206,1.1022,1.1034
10/20/97 00:00:00,1.1034,1.1053,1.1004,1.1035
10/21/97 00:00:00,1.1035,1.1054,1.0915,1.0932
10/22/97 00:00:00,1.093,1.1,1.0914,1.0954
